y,m,n,g,k,u
11.2,2015-07-27,飼料或飼料添加物檢驗及核發證明文件收費標準,行政＞農業部＞畜牧目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=M0060015
11.2,2015-07-24,衛生福利部及所屬機關提供政府資訊收費標準,行政＞衛生福利部＞法規目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=L0010018
11.1,2015-09-04,警察刑事紀錄證明收費標準,行政＞內政部＞警政目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080159
11.1,2015-08-17,陽明山國家公園管理處建築執照規費收費標準,行政＞內政部＞國家公園目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070225
11.1,2015-08-11,法院辦理民事及行政訴訟事件複製電子卷證費用徵收標準,司法＞院本部＞民事目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010061
11.1,2015-08-21,亞太經濟合作商務旅行卡規費收費標準,行政＞外交部＞領事業務目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=E0020022
11.0,2015-10-05,法院辦理刑事案件少年事件訴訟文書之影印攝影抄錄及複製電子卷證費用徵收標準,司法＞院本部＞刑事目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010025
11.0,2015-09-23,中央警察大學入學及招生考試規費收費標準,行政＞內政部＞警政目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080192
10.9,2015-10-28,研發及產業訓儲替代役員額申請案件規費收費標準,行政＞內政部＞役政目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0040040
10.9,2015-11-03,工程價格資料庫作業辦法,行政＞行政院公共工程委員會＞通用目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070192
10.9,2015-10-20,國史館臺灣文獻館文物圖像使用及收費辦法,總統＞總統府＞國史館目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0020184
10.8,2015-11-24,能源使用說明書審查規費收費標準,行政＞經濟部＞能源目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0130069
10.7,2016-01-30,有線廣播電視系統經營者收費標準,行政＞國家通訊傳播委員會＞收費標準目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=P0050018
10.7,2016-01-30,申請經營有線廣播電視服務規費收費標準,行政＞國家通訊傳播委員會＞收費標準目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=P0050020
10.7,2016-01-30,衛星廣播電視事業及境外衛星廣播電視事業業務規費收費標準,行政＞國家通訊傳播委員會＞收費標準目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=K0060085
10.7,2015-12-28,墾丁國家公園貓鼻頭公園收費標準,行政＞內政部＞國家公園目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070229
10.6,2016-02-03,人工培植拖鞋蘭證明文件收費標準,行政＞農業部＞農業試驗改良目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=M0030091
10.5,2016-04-14,行政院主計總處提供普（抽）查資料處理及場地設備使用收費標準,行政＞行政院主計總處＞統計目       ,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=T0050002
10.5,2016-04-12,森林遊樂區環境美化清潔維護費及遊樂設施使用費收費標準,行政＞農業部＞林業及自然保育目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=M0040042
10.5,2016-03-15,廣播電視事業業務規費收費標準,行政＞國家通訊傳播委員會＞收費標準目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=K0060096
10.4,2016-05-18,國立歷史博物館藏品圖像資料非營利使用及收費標準,行政＞文化部＞建設目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0020072
10.4,2016-04-15,龜山島登島收費辦法,行政＞交通部＞觀光目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=K0110041
10.2,2016-07-18,太魯閣國家公園管理處建築執照規費收費標準,行政＞內政部＞國家公園目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070243
10.1,2016-08-09,再生水經營業收取再生水費計算公式準則,行政＞經濟部＞水利目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0110095
10.1,2016-08-16,公共下水道系統污水或放流水無償供應之一定期間及計費準則,行政＞經濟部＞水利目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0110098
10.0,2016-10-03,危險性機械及設備檢查費收費標準,行政＞勞動部＞勞動檢查目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0070020
9.9,2016-11-15,墾丁國家公園管理處建築執照規費收費標準,行政＞內政部＞國家公園目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070246
9.8,2016-12-08,有線廣播電視終端設備規費收費標準,行政＞國家通訊傳播委員會＞收費標準目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=K0060108
9.7,2017-01-12,食品衛生安全管理系統認證及驗證收費辦法,行政＞衛生福利部＞食品藥物管理目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=L0040137
